563.6	3.629	 0.3800	84730
579.4	3.602	 0.3580	77650
590.4	3.585	 0.3470	73860
607.8	3.563	 0.3290	68020
619.9	3.549	 0.3170	64260
639.1	3.530	 0.2990	58790
652.6	3.517	 0.2930	56420
673.8	3.501	 0.2780	51850
688.8	3.492	 0.2700	49260
712.5	3.481	 0.2550	44970
729.3	3.476	 0.2420	41700
756.0	3.469	 0.2250	37400
774.9	3.467	 0.2180	35350
805.1	3.459	 0.2090	32620
826.6	3.456	 0.2030	30860
925.0	3.396	 3.550E-2 4823
930.0	3.391	 1.090E-2 1473
935.0	3.385	 5.900E-3 793.0
940.0	3.380	 3.180E-3 425.1
945.0	3.375	 9.670E-4 128.6
950.0	3.370	 5.270E-4 69.71
953.4	3.362	 2.810E-4 37.04
960.0	3.360	 7.390E-5 9.673
965.0	3.356	 3.920E-5 5.105
968.3	3.345	 2.460E-5 3.193
975.0	3.347	 1.130E-5 1.456
