# microns, n, k
1.179940902756728915e+00 3.474388800767510777e+00 0.000000000000000000e+00
1.185506661731996259e+00 3.473006088999256669e+00 0.000000000000000000e+00
1.191125176716508305e+00 3.471636675608507971e+00 0.000000000000000000e+00
1.196797201367539198e+00 3.470280373440587596e+00 0.000000000000000000e+00
1.202523503766427027e+00 3.468937001343990634e+00 0.000000000000000000e+00
1.208304866765304020e+00 3.467606383887192223e+00 0.000000000000000000e+00
1.214142088343880488e+00 3.466288351092964071e+00 0.000000000000000000e+00
1.220035981976617556e+00 3.464982738188869149e+00 0.000000000000000000e+00
1.225987377010649970e+00 3.463689385372765273e+00 0.000000000000000000e+00
1.231997119054819789e+00 3.462408137592229096e+00 0.000000000000000000e+00
1.238066070380213102e+00 3.461138844336852038e+00 0.000000000000000000e+00
1.244195110332590337e+00 3.459881359442530169e+00 0.000000000000000000e+00
1.250385135757130506e+00 3.458635540906919381e+00 0.000000000000000000e+00
1.256637061435916136e+00 3.457401250715213870e+00 0.000000000000000000e+00
1.262951820538609216e+00 3.456178354675649267e+00 0.000000000000000000e+00
1.269330365086784207e+00 3.454966722263947965e+00 0.000000000000000000e+00
1.275773666432402198e+00 3.453766226476238987e+00 0.000000000000000000e+00
1.282282715750934887e+00 3.452576743689771632e+00 0.000000000000000000e+00
1.288858524549657769e+00 3.451398153531013424e+00 0.000000000000000000e+00
1.295502125191666298e+00 3.450230338750591486e+00 0.000000000000000000e+00
1.302214571436182577e+00 3.449073185104683414e+00 0.000000000000000000e+00
1.308996938995746095e+00 3.447926581242440225e+00 0.000000000000000000e+00
1.315850326110907131e+00 3.446790418599033679e+00 0.000000000000000000e+00
1.322775854143069862e+00 3.445664591294048229e+00 0.000000000000000000e+00
1.329774668186154862e+00 3.444548996034831667e+00 0.000000000000000000e+00
1.336847937697783317e+00 3.443443532024547338e+00 0.000000000000000000e+00
1.343996857150712598e+00 3.442348100874623729e+00 0.000000000000000000e+00
1.351222646705286357e+00 3.441262606521346967e+00 0.000000000000000000e+00
1.358526552903693174e+00 3.440186955146383951e+00 0.000000000000000000e+00
1.365909849386865549e+00 3.439121055100968327e+00 0.000000000000000000e+00
1.373373837634881189e+00 3.438064816833564574e+00 0.000000000000000000e+00
1.380919847731776118e+00 3.437018152820813022e+00 0.000000000000000000e+00
1.388549239155708603e+00 3.435980977501572831e+00 0.000000000000000000e+00
1.396263401595462472e+00 3.434953207213887083e+00 0.000000000000000000e+00
1.404063755794319857e+00 3.433934760134720321e+00 0.000000000000000000e+00
1.411951754422377858e+00 3.432925556222294894e+00 0.000000000000000000e+00
1.419928882978436446e+00 3.431925517160943961e+00 0.000000000000000000e+00
1.427996660722632205e+00 3.430934566308253331e+00 0.000000000000000000e+00
1.436156641641047171e+00 3.429952628644494794e+00 0.000000000000000000e+00
1.444410415443581952e+00 3.428979630724102279e+00 0.000000000000000000e+00
1.452759608596434937e+00 3.428015500629200574e+00 0.000000000000000000e+00
1.461205885390600256e+00 3.427060167924996570e+00 0.000000000000000000e+00
1.469750949047855304e+00 3.426113563617008140e+00 0.000000000000000000e+00
1.478396542865783925e+00 3.425175620109965458e+00 0.000000000000000000e+00
1.487144451403451306e+00 3.424246271168382982e+00 0.000000000000000000e+00
1.495996501709424109e+00 3.423325451878653780e+00 0.000000000000000000e+00
1.504954564593911748e+00 3.422413098612627991e+00 0.000000000000000000e+00
1.514020555946887114e+00 3.421509148992591953e+00 0.000000000000000000e+00
1.523196438104140960e+00 3.420613541857592033e+00 0.000000000000000000e+00
1.532484221263312518e+00 3.419726217231023213e+00 0.000000000000000000e+00
1.541885964952044441e+00 3.418847116289438937e+00 0.000000000000000000e+00
1.551403779550514006e+00 3.417976181332516905e+00 0.000000000000000000e+00
1.561039827870703389e+00 3.417113355754131554e+00 0.000000000000000000e+00
1.570796326794895448e+00 3.416258584014483013e+00 0.000000000000000000e+00
1.580675548975995381e+00 3.415411811613226156e+00 0.000000000000000000e+00
1.590679824602425629e+00 3.414572985063585975e+00 0.000000000000000000e+00
1.600811543230466594e+00 3.413742051867358462e+00 0.000000000000000000e+00
1.611073155687072100e+00 3.412918960490822329e+00 0.000000000000000000e+00
1.621467176046343717e+00 3.412103660341479383e+00 0.000000000000000000e+00
1.631996183683008139e+00 3.411296101745596054e+00 0.000000000000000000e+00
1.642662825406426608e+00 3.410496235926541164e+00 0.000000000000000000e+00
1.653469817678837162e+00 3.409704014983815590e+00 0.000000000000000000e+00
1.664419948921743497e+00 3.408919391872842208e+00 0.000000000000000000e+00
1.675516081914555144e+00 3.408142320385405100e+00 0.000000000000000000e+00
1.686761156289820596e+00 3.407372755130738007e+00 0.000000000000000000e+00
1.698158191129616634e+00 3.406610651517251842e+00 0.000000000000000000e+00
1.709710287667913331e+00 3.405855965734849278e+00 0.000000000000000000e+00
1.721420632103994874e+00 3.405108654737813545e+00 0.000000000000000000e+00
1.733292498532298387e+00 3.404368676228257229e+00 0.000000000000000000e+00
1.745329251994328201e+00 3.403635988640099086e+00 0.000000000000000000e+00
1.757534351658624150e+00 3.402910551123532468e+00 0.000000000000000000e+00
1.769911354135093484e+00 3.402192323530018214e+00 0.000000000000000000e+00
1.782463916930377756e+00 3.401481266397706094e+00 0.000000000000000000e+00
1.795195802051309020e+00 3.400777340937352733e+00 0.000000000000000000e+00
1.808110879763908496e+00 3.400080509018631680e+00 0.000000000000000000e+00
1.821213132515820732e+00 3.399390733156885780e+00 0.000000000000000000e+00
1.834506659030534781e+00 3.398707976500293881e+00 0.000000000000000000e+00
1.847995678582229795e+00 3.398032202817392378e+00 0.000000000000000000e+00
1.861684535460616852e+00 3.397363376485003084e+00 0.000000000000000000e+00
1.875577703635695981e+00 3.396701462476506173e+00 0.000000000000000000e+00
1.889679791632956851e+00 3.396046426350451952e+00 0.000000000000000000e+00
1.903995547630176199e+00 3.395398234239534574e+00 0.000000000000000000e+00
1.918529864787658523e+00 3.394756852839848627e+00 0.000000000000000000e+00
1.933287786824486654e+00 3.394122249400520097e+00 0.000000000000000000e+00
1.948274513854133971e+00 3.393494391713548719e+00 0.000000000000000000e+00
1.963495408493619365e+00 3.392873248104027795e+00 0.000000000000000000e+00
1.978956002261285541e+00 3.392258787420593613e+00 0.000000000000000000e+00
1.994662002279232293e+00 3.391650979026159085e+00 0.000000000000000000e+00
2.010619298297465996e+00 3.391049792788910722e+00 0.000000000000000000e+00
2.026833970057929424e+00 3.390455199073544978e+00 0.000000000000000000e+00
2.043312295017750024e+00 3.389867168732783043e+00 0.000000000000000000e+00
2.060060756452322117e+00 3.389285673099071694e+00 0.000000000000000000e+00
2.077086051960192137e+00 3.388710683976555949e+00 0.000000000000000000e+00
2.094395102393193930e+00 3.388142173633252874e+00 0.000000000000000000e+00
