# microns, n, k
4.472018012227459427e-01 4.906455011367615526e+00 1.039500000000014079e+00
4.479989523835708476e-01 4.893645342004360188e+00 1.015250000000012420e+00
4.487989505128271994e-01 4.879522455877406628e+00 9.910000000000128706e-01
4.496018108894154208e-01 4.865269766604830792e+00 9.712500000000109379e-01
4.504075489017621003e-01 4.852100974938126754e+00 9.515000000000096714e-01
4.512161800488029284e-01 4.839023034596451112e+00 9.317500000000100702e-01
4.520277199409770130e-01 4.825187969957204004e+00 9.120000000000105800e-01
4.528421843012310211e-01 4.811417381309345487e+00 8.955000000000091775e-01
4.536595889660346437e-01 4.798564898666086265e+00 8.790000000000095515e-01
4.544799498864072751e-01 4.785897805898130741e+00 8.625000000000083711e-01
4.553032831289551274e-01 4.772801197278262464e+00 8.460000000000087450e-01
4.561296048769205580e-01 4.759820857696987595e+00 8.317500000000075389e-01
4.569589314312422768e-01 4.747525452673279744e+00 8.175000000000063327e-01
4.577912792116270446e-01 4.735381464027523357e+00 8.032500000000063478e-01
4.586266647576336397e-01 4.722916390808791220e+00 7.890000000000063629e-01
4.594651047297682034e-01 4.710551216924269369e+00 7.765000000000058522e-01
4.603066159105919652e-01 4.698717829886147612e+00 7.640000000000061187e-01
4.611512152058407921e-01 4.686979185911919643e+00 7.515000000000052749e-01
4.619989196455573932e-01 4.674903574635671966e+00 7.390000000000055413e-01
4.628497463852361271e-01 4.662938945422305359e+00 7.282500000000049489e-01
4.637037127069801867e-01 4.651540630288088174e+00 7.175000000000042455e-01
4.645608360206714416e-01 4.640298978309182587e+00 7.067500000000045413e-01
4.654211338651541019e-01 4.628835611270981865e+00 6.960000000000047260e-01
4.662846239094308176e-01 4.617533956915484517e+00 6.867500000000043014e-01
4.671513239538721551e-01 4.606789407026011141e+00 6.775000000000045430e-01
4.680212519314398967e-01 4.596265071660962320e+00 6.682500000000038964e-01
4.688944259089239397e-01 4.585682571471730640e+00 6.590000000000041380e-01
4.697708640881929076e-01 4.575282015141263869e+00 6.507500000000038254e-01
4.706505848074592491e-01 4.565317007016154172e+00 6.425000000000032907e-01
4.715336065425576595e-01 4.555558644709890359e+00 6.342500000000035332e-01
4.724199479082391573e-01 4.545834197512299113e+00 6.260000000000036646e-01
4.733096276594787599e-01 4.536234267436099366e+00 6.182500000000036300e-01
4.742026646927984812e-01 4.526850899081010127e+00 6.105000000000038174e-01
4.750990780476053721e-01 4.517512749438032493e+00 6.027500000000032276e-01
4.759988869075439943e-01 4.507975513605263274e+00 5.950000000000034150e-01
4.769021106018656586e-01 4.498611428887729247e+00 5.885000000000030207e-01
4.778087686068122619e-01 4.489809241350315894e+00 5.820000000000025153e-01
4.787188805470156683e-01 4.481387539766473083e+00 5.755000000000026761e-01
4.796324661969145753e-01 4.473400275038803109e+00 5.690000000000028368e-01
4.805495454821858692e-01 4.465448498017160261e+00 5.615000000000034408e-01
4.814701384811938545e-01 4.457125640138771772e+00 5.540000000000036007e-01
4.823942654264553598e-01 4.448456783954519267e+00 5.465000000000032054e-01
4.833219467061216079e-01 4.439151960262112340e+00 5.390000000000033653e-01
4.842532028654782383e-01 4.429849485938667897e+00 5.335000000000026388e-01
4.851880546084618717e-01 4.421175299351697063e+00 5.280000000000022453e-01
4.861265227991938831e-01 4.412782943392563162e+00 5.225000000000022959e-01
4.870686284635333818e-01 4.404483575212131186e+00 5.170000000000024576e-01
4.880143927906470114e-01 4.396379659532462014e+00 5.120000000000023421e-01
